,sample
617,CCDC175
618,CCDC176
619,CCDC177
620,PDK1
621,CTD-2303H24.2
622,PDK3
623,PDK2
624,EBP
625,PDK4
626,LNPEP
627,ALPI
628,RP11-324I22.4
629,SEC61A1
630,SEC61A2
631,ALPL
632,RP11-1437A8.6
633,PECR
634,RP11-127O4.2
635,PKP4P1
636,MIR193A
637,MIR193B
638,RP11-127O4.3
639,AL357115.1
640,RP11-238F2.1
641,RN7SKP158
642,RN7SKP159
643,RN7SKP156
644,PLA2G12AP1
645,RN7SKP154
646,RN7SKP155
647,RN7SKP152
648,RN7SKP153
649,RN7SKP150
650,RN7SKP151
651,LINC01091
652,LINC01090
653,LINC01093
654,LINC01095
655,RP11-282I1.2
656,RP11-282I1.1
657,LINC01096
658,LINC01099
659,LINC01098
660,RP11-304L19.13
661,RP11-304L19.12
662,CTAGE11P
663,RP11-255M2.1
664,HMGN2P19
665,HMGN2P18
666,RP11-727A23.8
667,AL157372.1
668,RP11-49I4.3
669,D21S2088E
670,RP5-882O7.4
671,HMGN2P11
672,HMGN2P10
673,RP5-882O7.1
674,HMGN2P16
675,HMGN2P15
676,DDIT3
677,DDIT4
678,SURF6P1
679,DOCK9-AS1
680,RIIAD1
681,RNU6-816P
682,AC007163.2
683,RP1-308E4.1
684,CTHRC1P1
685,RP11-769O8.3
686,RP11-170M17.2
687,RP11-170M17.1
688,GOLGA8T
689,OR5R1
690,GOLGA8Q
691,GOLGA8S
692,GOLGA8R
693,GOLGA8M
694,GOLGA8O
695,GOLGA8N
696,GOLGA8H
697,GOLGA8K
698,GOLGA8J
699,RP11-726G23.8
700,GOLGA8G
701,GOLGA8F
702,GOLGA8A
703,HYAL1
704,GOLGA8B
705,CT45A9
706,CT45A8
707,CT45A1
708,PTPMT1
709,CT45A2
710,CT45A5
711,RP5-1110E20.1
712,CT45A7
713,CT45A6
714,FTCDNL1
715,VMO1
716,OGFR-AS1
717,CTD-2547L16.2
718,GTF3AP1
719,GTF3AP6
720,GTF3AP5
721,ATP5C1
722,RP4-806M20.4
723,MIR639
724,MIR638
725,BX088702.2
726,MIR635
727,MIR634
728,MIR637
729,MIR636
730,MIR631
731,IGHV1-2
732,MIR633
733,MIR632
734,LINC00320
735,NPC2
736,NPC1
737,GATA3-AS1
738,LINC00324
739,LINC00326
740,LINC00327
741,RP4-660H19.1
742,C3orf58
743,RAB3GAP2
744,RNU1-6P
745,BHLHA15
746,RAB3GAP1
747,C3orf52
748,C3orf56
749,AL953885.1
750,XX-FW83563B9.5
751,DAG1
752,GS1-114I9.1
753,CTD-2587H24.1
754,GS1-114I9.3
755,PCDHGB9P
756,ETHE1
757,AC009973.1
758,RP11-187C18.3
759,RP11-187C18.4
760,RP11-337L12.1
761,SGSM3
762,RP11-349A22.3
763,RP11-349A22.2
764,RP11-757G14.3
765,KDM1A
766,KDM1B
767,RP11-301N24.3
768,RP11-455J20.3
769,RP4-597J3.1
770,OR1S1
771,OR1S2
772,MIR2355
773,RP11-85B7.4
774,RP11-85B7.5
775,HIST1H3H
776,RP11-85B7.2
777,CTD-2647E9.3
778,FCER1G
779,BTG4
780,BTG3
781,BTG2
782,BTG1
783,NMD3P1
784,AC020550.7
785,SRD5A3
786,AC009963.6
787,SRD5A1
788,AC009963.4
789,AC009963.3
790,RP6-65G23.3
791,ARMT1
792,EIF1AX-AS1
793,RP11-6O2.4
794,GGA1
795,RP11-644A7.2
796,GGA3
797,GGA2
798,RP11-175O19.4
799,CTC-471C19.2
800,FHOD1
801,FHOD3
802,RP11-20G13.1
803,RP11-20G13.2
804,RP11-20G13.3
805,GJC2
806,C4orf3
807,GJC1
808,AP002967.1
809,RP11-118M9.3
810,PSMB9
811,PSMB8
812,PSMB7
813,PSMB6
814,PSMB5
815,PSMB4
816,PSMB3
817,PSMB2
818,PSMB1
819,SNORD115-19
820,RP11-17M16.2
821,LMBR1L
822,RP11-425A6.5
823,RP5-1057J7.1
824,RP11-512G4.1
825,GS1-21A4.1
826,RP11-181C21.4
827,RP5-1057J7.7
828,PNMA1
829,ITM2BP1
830,TRAV23DV6
831,ACKR2
832,FAM90A23P
833,MEIS1-AS2
834,PNMA3
835,AC106801.1
836,SETP5
837,SETP4
838,SETP7
839,PNMA2
840,SETP1
841,SETP3
842,SETP2
843,RP11-486G15.1
844,PNMA5
845,AC000124.1
846,RP11-486G15.2
847,SETP9
848,SETP8
849,LTN1
850,RP11-328C8.5
851,RP11-328C8.4
852,RP11-543P15.1
853,TRIML2
854,C9orf142
855,TRIML1
856,NACC2
857,VPS13D
858,NACC1
859,VPS13A
860,SH3KBP1
861,VPS13C
862,VPS13B
863,RP11-25O10.2
864,BEX5
865,BEX4
866,BEX2
867,BEX1
868,RP11-110H1.4
869,RP11-535A19.2
870,IGHD6-25
871,TMEM160
872,TMEM163
873,TMEM165
874,TMEM164
875,AC231759.1
876,EVI2A
877,TMEM168
878,EVI2B
879,AC079780.3
880,FOXN1
881,FOXN2
882,FOXN3
883,RP11-96J15.2
884,RP11-96J15.1
885,NICN1
886,RP11-484K9.4
887,COL14A1
888,RP11-656E20.5
889,RP5-1189B24.1
890,MEMO1P4
891,MEMO1P5
892,OR4D12P
893,ZNRF3-IT1
894,MEG3_2
895,MEG3_1
896,PART1_1
897,IFFO1
898,IGHV4-4
899,TAP2
900,RP11-831A10.2
901,MIR6770-3
902,SNAP91
903,RP11-34F13.2
904,RNU6-426P
905,RP11-358B23.1
906,AC239395.1
907,AC067945.3
908,AC067945.2
909,RNU2-5P
910,AC067945.4
911,RP11-149I2.4
912,AC090559.1
913,C11orf39
914,CTD-2265D6.2
915,C11orf31
916,C11orf30
917,RPL15P3
918,RPL15P2
919,RPL15P1
920,RPL15P4
921,AC000403.1
922,CTD-3093B17.2
923,IFNA6
924,RN7SL849P
925,MIR6770-1
926,MACROD2
927,MACROD1
928,AL110292.1
929,VN1R20P
930,ZNF861P
931,RP11-357J22.1
932,SEP15
933,RP5-879K22.1
934,ZNF346-IT1
935,CITF22-49D8.1
936,DNAH11
937,RNU6-484P
938,RP5-991C6.4
939,KRR1
940,RP5-991C6.2
941,FAM64A
942,RNU1-67P
943,NNT-AS1
944,STRN
945,CTD-2336H13.1
946,RP11-603J24.4
947,LINC01215
948,LINC01214
949,FAM92A1
950,HMGN1P9
951,HMGN1P4
952,HMGN1P5
953,HMGN1P6
954,RP11-119F19.4
955,RP11-486L19.2
956,HMGN1P2
957,LINC01212
958,HIST2H3PS2
959,RP11-710F7.2
960,C8orf49
961,C8orf48
962,C8orf46
963,C8orf44
964,TP53I3
965,AC004862.6
966,RP11-777B9.5
