,sample
23011,GSTO2
23012,GSTO1
23013,RP11-513O17.3
23014,RP11-513O17.1
23015,RNU6-411P
23016,RP11-657G5.2
23017,TTC33
23018,TTC32
23019,TTC31
23020,TTC37
23021,TTC36
23022,U85056.1
23023,TTC34
23024,RP11-451G4.2
23025,RP11-451G4.3
23026,TTC38
23027,RP11-483I24.1
23028,RP13-93L13.2
23029,RP13-93L13.1
23030,RP11-843F11.1
23031,RP11-716H6.1
23032,TSPAN9-IT1
23033,RP11-716H6.2
23034,RN7SL671P
23035,LINC01232
23036,UQCRC2P1
23037,RP11-48B3.3
23038,RP11-48B3.2
23039,RP11-48B3.5
23040,AP000431.2
23041,AP000431.1
23042,AL136123.1
23043,HMGB2
23044,OR5AW1P
23045,RP11-134L4.2
23046,HMGB1
23047,FAM8A3P
23048,RP11-53I6.2
23049,RN7SL523P
23050,RP11-753D20.1
23051,FRMPD4
23052,RP11-753D20.3
23053,FRMPD1
23054,CTB-1048E9.7
23055,FRMPD3
23056,FRMPD2
23057,AC147651.2
23058,FYCO1
23059,CTC-448F2.6
23060,PDE10A
23061,CTC-448F2.4
23062,STAG3L5P-PVRIG2P-PILRB
23063,GEMIN8
23064,GEMIN2
23065,GTF2H2C
23066,ENHO
23067,RP11-231E4.3
23068,GEMIN6
23069,SPNS3
23070,GEMIN4
23071,GEMIN5
23072,BPIFC
23073,AC006129.1
23074,RPS3AP14
23075,RNU6-245P
23076,RNU6-940P
23077,RP11-36I17.2
23078,KRBA1
23079,KIF9-AS1
23080,KRBA2
23081,LARP1B
23082,RP11-507D14.4
23083,CTC-209L16.1
23084,MCRS1
23085,KRT16P3
23086,KRT16P2
23087,KRT16P1
23088,KRT16P6
23089,MLKL
23090,KRT16P4
23091,SNORD3D
23092,SNORD3C
23093,SNORD3A
23094,RP11-812E19.7
23095,RP11-812E19.5
23096,RP11-812E19.3
23097,RN7SL60P
23098,RP11-457D13.4
23099,RN7SL610P
23100,RP11-553A10.1
23101,STX17-AS1
23102,AC091866.1
23103,ERLEC1
23104,PAN3-AS1
23105,RN7SL825P
23106,KIF18A
23107,KIF18B
23108,AC018742.1
23109,RN7SL278P
23110,AC073254.1
23111,RP11-436H11.5
23112,RN7SL454P
23113,RP11-436H11.1
23114,RP11-136I14.4
23115,RP11-760D2.10
23116,RP11-760D2.11
23117,RP11-760D2.12
23118,HNRNPA1P16
23119,RP11-4O3.1
23120,SNORD38
23121,RP11-490D19.8
23122,RP11-736E3.1
23123,SNORD37
23124,SNORD34
23125,SNORD33
23126,MLK4
23127,SNORD31
23128,ELK1P1
23129,RP11-700H6.1
23130,RP11-700H6.2
23131,RP11-700H6.4
23132,FLJ36000
23133,PPIAP33
23134,TGM1
23135,TGM2
23136,TGM3
23137,TGM4
23138,TGM5
23139,TGM6
23140,TGM7
23141,AC068580.1
23142,LA16c-352F7.1
23143,RP11-33H15.1
23144,AC100830.5
23145,RP11-417N10.4
23146,RP11-162J8.2
23147,ALG1L5P
23148,RNU6-918P
23149,BTN3A3
23150,EIF3H
23151,EIF3I
23152,EIF3J
23153,EIF3K
23154,EIF3L
23155,EIF3M
23156,SLX1A
23157,RNU6-1189P
23158,EIF3B
23159,EIF3C
23160,OR5AC2
23161,EIF3E
23162,EIF3F
23163,OR5AC1
23164,AP001610.5
23165,AC011998.2
23166,BEND7P1
23167,MKKS
23168,NOL11
23169,NOL10
23170,NOL12
23171,RP11-52J3.2
23172,BARD1
23173,ISCA1P2
23174,CTD-2182N23.1
23175,RP1-47M23.3
23176,RPS4XP21
23177,INPP5B
23178,UQCRFS1P2
23179,UQCRFS1P3
23180,RP11-370A5.1
23181,RP11-370A5.2
23182,HEPN1
23183,AC013271.3
23184,AC012613.2
23185,UBTD2
23186,RP11-88H10.2
23187,UBTD1
23188,RNA5SP73
23189,RP11-321N4.4
23190,RNA5SP70
23191,RN7SL678P
23192,RNA5SP71
23193,TEDDM2P
23194,AP000255.6
23195,AP000692.9
23196,RP11-1280N14.3
23197,MIR4751
23198,DSCAM-IT1
23199,MYCBPAP
23200,RNU1-40P
23201,PDLIM1P2
23202,RP11-333B6.1
23203,LL0XNC01-7P3.1
23204,TUBB4BP6
23205,AC027319.2
23206,RP11-495K9.10
23207,TUBD1
23208,CTD-2545H1.1
23209,CTD-2545H1.2
23210,AL138925.1
23211,AC027319.1
23212,RP11-1084A12.2
23213,TCRBV11S1A1T
23214,RP11-1084A12.1
23215,AC013403.13
23216,LINC00094
23217,CA10
23218,PPP1R14BP2
23219,PPP1R14BP3
23220,RP11-843P14.2
23221,TRAJ49
23222,TRAJ48
23223,SDSL
23224,RALY
23225,TRAJ41
23226,TRAJ40
23227,TRAJ43
23228,TRAJ42
23229,TRAJ45
23230,TRAJ44
23231,TRAJ47
23232,TRAJ46
23233,BZW1P1
23234,RP3-407E4.4
23235,RP3-407E4.3
23236,RNU6-45P
23237,RP11-214N15.5
23238,RP11-120K9.2
23239,RALB
23240,RALA
23241,OR10G7
23242,OR10G6
23243,RP11-351M8.1
23244,ISX
23245,OR10G3
23246,CHCHD2P8
23247,RP11-25L3.1
23248,TMEM56-RWDD3
23249,RPL7AP6
23250,RP5-1091N2.9
23251,OR10G8
23252,RP11-823P9.4
23253,RP11-25L3.3
23254,RN7SL125P
23255,RP11-823P9.3
23256,DBF4B
23257,RP11-359J6.1
23258,DNAJB9
23259,DNAJB8
23260,RNU6-672P
23261,DNAJB2
23262,DNAJB1
23263,ERCC6L
23264,DNAJB7
23265,DNAJB6
23266,DNAJB5
23267,DNAJB4
23268,GPATCH11
23269,AMDHD2
23270,RP11-270M14.5
23271,RP4-800G7.2
23272,RP4-800G7.3
23273,RP4-800G7.1
23274,RP1-32I10.10
23275,RP1-32I10.11
23276,DIDO1
23277,NRON
23278,RP11-367N14.2
23279,AC104308.2
23280,TTLL13P
23281,RP11-235P11.1
23282,RP11-116B19.2
23283,RP11-299J5.1
23284,AL079334.1
23285,RP11-270M14.4
23286,CTB-70D19.1
23287,RP11-545J16.1
23288,AC005040.3
23289,RN7SL178P
23290,KLRC4-KLRK1
23291,GRIK1
23292,GRIK2
23293,GRIK3
23294,GRIK4
23295,GRIK5
23296,RNF149
23297,RAB28
23298,SLC22A5
23299,SGSH
23300,RNF141
23301,RNF145
23302,RP11-567I13.1
23303,RNF146
23304,RP11-343C2.10
23305,RP11-343C2.11
23306,RP11-343C2.12
23307,RAD23BLP
23308,GRSF1
23309,NENF
23310,ASAH2B
23311,AC003985.1
23312,AC114760.1
23313,RNU6-1222P
23314,MIR371A
23315,RP11-596D21.1
23316,RP11-508O18.1
23317,PCDH18
23318,XCR1
23319,RP11-113D6.3
23320,MOB1AP2
23321,MOB1AP1
23322,XPR1
23323,NFXL1
23324,GREM2
23325,GREM1
23326,RP1-20B11.2
23327,CTA-298G8.2
23328,RP11-128L5.1
23329,RP11-1105O14.1
23330,PADI1
23331,PADI3
23332,PADI2
23333,PADI4
23334,PADI6
23335,AL137024.1
23336,LL22NC03-2H8.4
23337,LINC01534
23338,ZPLD1
23339,LINC01535
23340,AC006322.1
23341,RP11-289A15.1
23342,SAE1
23343,TWISTNB
23344,ATP6V1C2
23345,ATP6V1C1
23346,RP11-134D3.2
23347,RP11-134D3.1
23348,RP11-512M8.5
23349,RP11-709A23.1
23350,RP11-709A23.2
23351,SENP3-EIF4A1
23352,VN1R40P
23353,RP11-10O22.1
23354,VPS37B
23355,RP11-77A13.1
23356,RP11-30O15.1
23357,RP1-151B14.6
23358,TOMM6
23359,TOMM7
23360,PPP1R3E
23361,PPP1R3D
23362,PPP1R3C
23363,PPP1R3B
23364,PPP1R3A
23365,RP11-523O18.5
23366,RN7SL399P
23367,NTAN1
23368,AC005668.1
23369,TBXAS1
23370,RP11-87C12.6
23371,RIBC2
23372,PPP1R37
23373,PPP1R36
23374,PPP1R35
23375,PPP1R32
23376,RP11-468I15.1
23377,INPP5A
23378,RNA5SP78
23379,RNA5SP79
23380,INPP5D
23381,INPP5E
23382,INPP5F
23383,RNA5SP72
23384,RP11-88H10.3
23385,INPP5J
23386,INPP5K
23387,RNA5SP76
23388,RNA5SP77
23389,RNA5SP74
23390,RNA5SP75
23391,PDLIM1P3
23392,RNU6-118P
23393,PDLIM1P1
23394,PDLIM1P4
23395,MSANTD4
23396,RP11-334E6.12
23397,MSANTD1
23398,MSANTD2
23399,MSANTD3
23400,CNST
23401,OR4A14P
23402,RNU6-780P
23403,RP11-443G13.2
23404,RP11-369E15.2
23405,AC092597.3
23406,RP11-818F20.4
23407,AC138472.6
23408,AC138472.4
23409,AC112719.1
23410,AC112719.2
23411,VPS37D
23412,VPS37C
23413,RNU6-312P
23414,VPS37A
23415,AC093419.1
23416,AC006130.3
23417,OR10AK1P
23418,TUBB8P5
23419,GUCA2A
23420,GUCA2B
23421,RP11-481F24.3
23422,AC073621.2
23423,RP11-369E15.1
23424,RPL13P4
23425,RP11-369E15.3
23426,RPL13P6
23427,RP11-369E15.4
23428,RPL13P2
23429,HOMEZ
23430,AC025165.8
23431,OR7E158P
23432,AC015688.3
23433,AP000474.1
23434,RP11-387A1.6
23435,RP11-387A1.5
23436,RNU6-540P
23437,AC083863.5
23438,RP5-837J1.6
23439,RP5-837J1.1
23440,RP11-374M1.5
23441,RP11-374M1.4
23442,RP11-374M1.7
23443,RP11-746P2.5
23444,RP11-746P2.3
23445,RP11-374M1.3
23446,RP11-374M1.2
23447,RP11-374M1.9
23448,RN7SL757P
23449,RP4-655C5.9
23450,RP11-958F21.1
23451,AC025171.1
23452,RP11-958F21.3
23453,RP11-666A1.4
23454,RP11-666A1.7
23455,COL12A1
23456,RP11-665J16.1
23457,AC012454.4
23458,RNU6-583P
23459,RP4-765H13.1
23460,RN7SL503P
23461,SEPHS2P1
23462,NUTF2P7
23463,RP11-81F13.1
23464,MTND6P8
23465,MTND6P9
23466,RP1-90J20.14
23467,MTND6P2
23468,MTND6P3
23469,RP11-48G14.3
23470,CHIA
23471,MTND6P6
23472,MTND6P7
23473,MTND6P4
23474,MTND6P5
23475,RNA5SP350
23476,RNA5SP351
23477,RNA5SP352
23478,RNA5SP353
23479,RNA5SP354
23480,RNA5SP355
23481,RNA5SP356
23482,RNA5SP357
23483,RNA5SP358
23484,RNA5SP359
23485,RP11-280H21.1
23486,CASK
23487,RP11-521C20.5
23488,CAST
23489,RP11-521C20.1
23490,AL049871.1
23491,RP11-521C20.3
23492,CASR
23493,RP4-533D7.4
23494,RP4-533D7.5
23495,RNU7-10P
23496,RNU6-229P
23497,AC011288.2
23498,C5orf49
23499,RP11-746P2.6
23500,SIGLEC20P
23501,RP3-470L22.1
23502,HMGN3P1
23503,UAP1L1
23504,ADAM20
23505,ADAM23
23506,RNU6ATAC26P
23507,ADAM29
23508,ADAM28
23509,RP11-325L7.2
23510,AC018766.6
23511,CTB-25J19.1
23512,TMSB15B
23513,TMSB15A
23514,PTPRG-AS1
23515,PAIP1P1
23516,AC011523.2
23517,RP3-395C13.1
23518,AC092299.1
23519,MMEL1
23520,AC008967.1
23521,RNU2-39P
23522,TTF2
23523,TTF1
23524,KRTAP8-1
23525,CTD-2616J11.9
23526,CNTN4-AS2
23527,CBR4
23528,CBR1
23529,RP11-439E19.10
23530,CBR3
23531,MTRNR2L10
23532,TRIM51CP
23533,ANXA1
23534,ANXA3
23535,ANXA2
23536,ANXA5
23537,ANXA4
23538,ANXA7
23539,ANXA6
23540,ANXA9
23541,ANXA8
23542,AC073310.4
23543,RP11-96D1.8
23544,MEST
23545,AC018731.3
23546,CTB-31O20.8
23547,FOXD3-AS1
23548,POU5F1
23549,SASS6
23550,POU5F2
23551,CTB-31O20.2
23552,RP11-432I5.8
23553,RP11-645N11.3
23554,CTB-31O20.4
23555,RP11-703C10.1
23556,CTB-31N19.2
23557,RP11-83J16.1
23558,HTN3
23559,RNU6-711P
23560,RP11-432I5.4
23561,PUS7
23562,CYP4F26P
23563,KCNQ5-IT1
23564,HEPACAM
23565,M6PR
23566,SSX6
23567,SSX7
23568,ATP6V1E1P1
23569,SSX5
23570,SSX2
23571,SSX3
23572,USH2A
23573,SSX1
23574,MRGBP
23575,RNU6-391P
23576,SSX8
23577,SSX9
23578,HECTD1
23579,RNU7-164P
23580,RP11-325P15.1
23581,RP11-325P15.2
23582,CYP4Z2P
23583,MDS2
23584,CTD-2207L17.1
23585,RN7SL233P
23586,SUDS3P1
23587,AC026241.1
23588,CPT2
23589,PF4V1
23590,PYGB
23591,NDFIP2-AS1
23592,RP11-174G17.3
23593,RP11-174G17.2
23594,PYGL
23595,PYGM
23596,PFAS
23597,RP11-543H23.1
23598,RP11-359E19.1
23599,RNU5F-7P
23600,CPTP
23601,RP11-676J15.1
23602,MIR6805
23603,MIR6804
23604,BAMBI
23605,RP11-543H23.2
23606,RN7SL306P
23607,MIR6800
23608,MIR6803
23609,MIR6802
23610,PMS1
23611,PMS2
23612,TRAF3IP2-AS1
23613,MIR6809
23614,MIR6808
23615,RP11-284F21.10
23616,AC009133.21
23617,MST1R
23618,RP11-81F13.2
23619,SDR16C6P
23620,MST1L
23621,HUNK
23622,GRIP1
23623,GRIP2
23624,SLC19A2
23625,SLC19A3
23626,SLC19A1
23627,RNU7-19P
23628,RP11-358M3.1
23629,RP11-203F8.1
23630,RP11-403H13.1
23631,AL121952.1
23632,RNU6-523P
23633,TRGC1
23634,MIS12
23635,TRGC2
23636,MIR4688
23637,RNU6-1130P
23638,RP11-177F15.1
23639,MTND6P1
23640,RP11-22P4.2
23641,LINC01384
23642,MED12L
23643,RP11-696F12.1
23644,DLEU2_4
23645,DLEU2_5
23646,DLEU2_2
23647,DLEU2_3
23648,DLEU2_1
23649,RN7SL581P
23650,MIR4687
23651,PIGFP1
23652,NXF4
23653,NXF5
23654,NXF1
23655,NXF2
23656,FLG2
23657,FAF1
23658,PGM5
23659,AC006509.4
23660,FAF2
23661,PGM1
23662,PGM2
23663,PGM3
23664,RNU6-1007P
23665,RP11-91I8.1
23666,RP11-4N23.4
23667,SBK2
23668,AC007403.3
23669,COL6A4P1
23670,SBK1
23671,IGKV1OR22-1
23672,DKFZp434P228
23673,RBM8A
23674,RP11-4N23.1
23675,MIR5572
23676,CDC27
23677,CDC26
23678,AL034375.1
23679,HOXD12
23680,HOXD13
23681,HOXD10
23682,CDC20
23683,SHBG
23684,CH17-140K24.1
23685,FAM150A
23686,IGKV1OR22-5
23687,FAM150B
23688,LIN54
23689,LIN52
23690,MYNN
23691,AC024158.1
23692,RN7SKP74
23693,RP13-870H17.3
23694,RPL35A
23695,AC002115.5
23696,LINC00587
23697,LINC00581
23698,LINC00582
23699,LINC00583
23700,LINC00588
23701,LINC00589
23702,SPDYE8P
23703,RP5-1160K1.8
23704,RNU6-865P
23705,GCN1L1
23706,MIR6892
23707,LINC01189
23708,PPP1R12A
23709,PPP1R12B
23710,PPP1R12C
23711,RP11-363G2.4
23712,LINC01182
23713,LINC01181
23714,LINC01180
23715,LINC01187
23716,LINC01186
23717,LINC01185
23718,LINC01184
23719,AC005624.2
23720,RP11-416N13.1
23721,MIR6891
23722,RN7SL654P
23723,RP11-178C3.6
23724,GEMIN8P4
23725,AC018799.1
23726,PGPEP1L
23727,STAG3L4
23728,STAG3L3
23729,STAG3L2
23730,STAG3L1
23731,GEMIN8P3
23732,BCAP31
23733,RP11-326E7.1
23734,VPS35
23735,RP11-561P12.2
23736,VPS36
23737,VPS39
23738,AC138517.5
23739,AC138517.4
23740,RN7SKP29
23741,RN7SKP28
23742,TAS2R41
23743,TAS2R40
23744,RP11-379B18.6
23745,TAS2R46
23746,RN7SKP21
23747,RN7SKP20
23748,RN7SKP23
23749,RN7SKP22
23750,RN7SKP25
23751,RN7SKP24
23752,RN7SKP27
23753,RN7SKP26
23754,KCTD3
23755,KCTD2
23756,KCTD1
23757,CTB-46B19.1
23758,KCTD6
23759,KCTD5
23760,KCTD4
23761,KCTD9
23762,KCTD8
23763,MIR27A
23764,MIR27B
23765,SDHDP6
23766,XXbac-BPG308K3.6
23767,XXbac-BPG308K3.5
23768,AC139451.1
23769,GLTSCR1L
23770,RP4-718J7.4
23771,RNY4P19
23772,RNY4P18
23773,RNY4P14
23774,RNY4P17
23775,RNY4P16
23776,CTD-2037K23.1
23777,RNY4P10
23778,RNY4P13
23779,RP11-345K9.2
23780,PXK
23781,SLC38A10
23782,PXN
23783,CEP95
23784,ESF1
23785,DLEU7-AS1
23786,RP11-116K4.1
23787,RP11-276H19.2
23788,RP11-276H19.1
23789,OR3D1P
23790,RP11-276H19.4
23791,RP11-150O12.2
23792,RP11-150O12.3
23793,RP11-150O12.6
23794,RP11-150O12.4
23795,RN7SL101P
23796,RNU1-8P
23797,AJ006995.3
23798,BRAP
23799,USPL1
23800,RP3-395M20.9
23801,RP3-395M20.7
23802,MIR660
23803,RP3-395M20.2
23804,RPL15P18
23805,NEDD4L
23806,UPF3A
23807,AL022344.7
23808,IQCA1-AS1
23809,BRAF
23810,AL022344.2
23811,ADAM21
23812,XXbac-BPG170G13.32
23813,IFITM10
23814,SPATA31E2P
23815,Z73964.1
23816,RP11-46F15.2
23817,MIR6499
23818,RP11-627K11.6
23819,RP11-420K10.1
23820,ADAM22
23821,RP11-438D14.2
23822,RP11-627K11.3
23823,AC017101.10
23824,RNU6-923P
23825,STK19
23826,RP11-509J21.2
23827,LSM1P1
23828,RNU4-26P
23829,ZFYVE19
23830,RPL36AP21
23831,NTNG1
23832,NTNG2
23833,RP11-627D16.1
23834,ZFYVE16
23835,CTD-2349P21.12
23836,CTD-2349P21.10
23837,CTD-2349P21.11
23838,AC067959.1
23839,RN7SL190P
23840,THY1
23841,MRPL2P1
23842,CTD-3010D24.3
23843,RP11-232D9.3
23844,RP1-80N2.4
23845,RP11-232D9.2
23846,NATD1
23847,OPN1SW
23848,MIR137HG
23849,TNS3
23850,LINC00378
23851,KB-1027C11.4
23852,TNS2
23853,RP11-712C19.1
23854,TRAF3IP1
23855,RP1-81D8.5
23856,JPX_2
23857,JPX_1
23858,ANGPTL7
23859,ANGPTL6
23860,ANGPTL5
23861,ANGPTL4
23862,ANGPTL3
23863,ANGPTL2
23864,ANGPTL1
23865,RP11-241G9.3
23866,RNU6-170P
23867,RP4-568B10.1
23868,OR4A7P
23869,MMP14
23870,MMP15
23871,MMP16
23872,MMP17
23873,MMP10
23874,MMP11
23875,MMP12
23876,MMP13
23877,RNU4-48P
23878,RP11-116D2.1
23879,RP11-367H1.1
23880,MMP19
23881,LINC00376
23882,RP11-502M1.1
23883,RP11-502M1.2
23884,LINC00375
23885,RP11-271C24.3
23886,RP11-271C24.2
23887,RNU6-1304P
23888,RN7SL96P
23889,RP11-720D4.3
23890,RUVBL1-AS1
23891,RP11-540K16.2
23892,SMIM2-IT1
23893,RP11-165D20.1
23894,VIM2P
23895,RP3-510D11.4
23896,RP3-510D11.1
23897,RP3-510D11.2
23898,SPAG5-AS1
23899,CDAN1
23900,KCNK18
23901,KCNK16
23902,KCNK17
23903,KCNK15
23904,ZC2HC1B
23905,ZC2HC1C
23906,KCNK10
23907,ZC2HC1A
23908,MMACHC
23909,FAM199X
23910,CTB-111F10.1
23911,C14orf180
23912,RP11-383C5.8
23913,AC004016.1
23914,RP11-494M8.1
23915,TCN1
23916,RP11-494M8.4
23917,RP4-740C4.5
23918,TCN2
23919,KRT8P15
23920,KRT8P14
23921,KRT8P17
23922,KRT8P11
23923,KRT8P10
23924,KRT8P13
23925,KRT8P12
23926,RP11-108A14.1
23927,KRT8P19
23928,KRT8P18
23929,RP11-26L20.4
23930,RP11-26L20.3
23931,OR6R2P
23932,RN7SL733P
23933,RP11-665C16.1
23934,REREP1Y
23935,RP11-626P14.1
23936,GPRC5D
23937,GPRC5A
23938,GPRC5C
23939,GPRC5B
23940,SCLT1
23941,RP11-152L20.3
23942,ALG1L
23943,PRH1-PRR4
23944,RPL38P1
23945,ZNF33AP1
23946,AC041039.1
23947,RP11-451F20.1
23948,RP11-665C16.8
23949,RP11-355N15.1
23950,MIR378J
23951,RP11-355N15.2
23952,CPOX
23953,RP11-342D11.2
23954,RN7SL708P
23955,ALG10
23956,ALG11
23957,ALG12
23958,ALG13
23959,ALG14
23960,AC007250.4
23961,OR9G3P
23962,RIOK3
23963,RIOK1
23964,RNU6-1053P
23965,CYCSP46
23966,BANF1
23967,BANF2
23968,TARID
23969,RP4-816N1.6
23970,RP4-816N1.7
23971,KLHL7-AS1
23972,ZNF259P1
23973,AHSP
23974,RP11-184B22.2
23975,CTD-2525P14.5
23976,AL645927.1
23977,AHSG
23978,AL133244.1
23979,AL133244.2
23980,STEAP3-AS1
23981,RN7SL606P
23982,COX18
23983,AC004901.1
23984,TRIM8
23985,AC005789.9
23986,IGKV2OR2-2
23987,SHISA6
23988,RP11-196G18.23
23989,RP11-196G18.22
23990,WI2-1896O14.1
23991,RNU6-735P
23992,SHISA7
23993,RP11-131H24.5
23994,CTD-2071N1.1
23995,AC109333.10
23996,RNU6-55P
23997,TMEM215
23998,RP11-49K24.9
23999,RP1-21O18.3
24000,RP3-510H16.3
24001,RP11-49K24.6
24002,RP11-49K24.5
24003,SHISA3
24004,KRT40
24005,RP11-206P5.2
24006,IL37
24007,IL34
24008,CTD-2089O24.2
24009,IL32
24010,IL33
24011,IL31
24012,EIF3KP3
24013,RP13-580B18.2
24014,NKPD1
24015,HMBOX1
24016,AL645937.1
24017,COX14
24018,RP5-1163L11.2
24019,RP11-169N13.4
24020,RP11-564C4.4
24021,RP11-339B9.1
24022,RP11-317J19.1
24023,RP13-580B18.1
24024,CTC-286N12.1
24025,RPIAP1
24026,CAMK2N2
24027,CAMK2N1
24028,MIR6817
24029,RNU6-608P
24030,MTRNR2L13
24031,RHPN1-AS1
24032,MTRNR2L12
24033,RPS3P6
24034,RPS3P7
24035,CTD-2175A23.1
24036,RPS3P2
24037,MTRNR2L11
24038,RPS3P1
24039,AL139184.1
24040,RP11-80H18.4
24041,RP11-348A7.1
24042,HYOU1
24043,RP11-673E1.1
24044,AC133555.1
24045,GTSF1L
24046,AP001437.1
24047,AC131213.1
24048,AC233702.1
24049,MIR6815
24050,RP11-536N17.1
24051,RP11-296O14.3
24052,RP11-296O14.2
24053,TRIM60P5Y
24054,RSL24D1P1
24055,RP11-76H14.2
24056,RP11-76H14.5
24057,CTB-160O22.1
24058,RP11-179A16.2
24059,RNU6-768P
24060,RP11-642D21.1
24061,RP11-641D5.2
24062,RP11-641D5.1
24063,AZU1
24064,CTC-248O19.1
24065,SAYSD1
24066,AL159977.1
24067,GAPDHP26
24068,ERAP2
24069,ERAP1
24070,GAPDHP25
24071,GAPDHP22
24072,GAPDHP23
24073,GAPDHP20
24074,GAPDHP21
24075,RP11-19D2.1
24076,RP11-19D2.2
24077,NMRK2
24078,NMRK1
24079,GAPDHP29
24080,RP11-122A21.2
24081,RP13-766D20.1
24082,PLA2G1B
24083,RP4-745K6.1
24084,AC073283.7
24085,DDX58
24086,DDX59
24087,DDX52
24088,DENR
24089,DDX50
24090,ZNF160
24091,DDX56
24092,ZNF165
24093,DDX55
24094,GATM
24095,CTD-2055G21.1
24096,IGHV4-34
24097,GATB
24098,GATC
24099,CTD-2036P10.5
24100,MIR3180-4
24101,MIR3180-5
24102,MIR3180-2
24103,MIR3180-3
24104,MIR3180-1
24105,AC027124.2
24106,RNU6-168P
24107,EGLN3
24108,PLA2G15
24109,PLA2G16
24110,DNAH1
24111,PLA2G10
24112,DNAH7
24113,DNAH5
24114,AC019058.1
24115,RP5-1098D14.1
24116,DNAH8
24117,DNAH9
24118,AL603632.1
24119,RP11-211G3.3
24120,RP11-211G3.2
24121,CTB-31O20.9
24122,RP11-216P16.6
24123,RP11-216P16.4
24124,KLF7-IT1
24125,RNU6-655P
24126,RP11-10A2.1
24127,GPR17
24128,RP11-342A1.1
24129,RP11-129I19.2
24130,RP4-775C13.2
24131,RP4-775C13.1
24132,LLNLR-304G9.1
24133,RP11-87H9.5
24134,AC105342.1
24135,HSD17B10
24136,LAG3
24137,RP11-22H5.1
24138,AC144522.1
24139,RP11-267C16.1
24140,RP11-267C16.2
24141,RN7SL97P
24142,RP11-217E13.1
24143,FBXW8
24144,RP11-92C4.3
24145,RP11-92C4.6
24146,RNU6-323P
24147,CTB-31O20.6
24148,TET1P1
24149,RP11-728K20.3
24150,OR8K1
24151,OR8K3
24152,OR8K5
24153,RP11-545A16.4
24154,RP11-316M21.9
24155,GNB5
24156,GNB4
24157,RNU6-102P
24158,GNB1
24159,RP11-316M21.7
24160,GNB3
24161,GNB2
24162,RP11-13E5.2
24163,RP11-251G23.2
24164,RP4-713B5.2
24165,RP11-717A5.2
24166,OPN1LW
24167,RP11-545A16.1
24168,FOXB2
24169,RP11-298E10.1
24170,RP11-638F5.2
24171,AC109631.1
24172,RP11-506O24.1
24173,AC106870.1
24174,AC106870.2
24175,PARD3B
24176,CECR5-AS1
24177,CKAP2L
24178,KIAA1683
24179,RP11-383G6.4
24180,RP11-383G6.3
24181,RP11-371E8.2
24182,RP11-71C5.2
24183,AC093616.4
24184,IGKV2-23
24185,CDCP2
24186,IGKV2-26
24187,GTF2A1
24188,GTF2A2
24189,YBX1P9
24190,YBX1P6
24191,YBX1P7
24192,YBX1P4
24193,YBX1P5
24194,IL18BP
24195,YBX1P3
24196,YBX1P1
24197,UBTFL5
24198,UBTFL7
24199,RP11-191N8.2
24200,RP1-34H18.1
24201,RP4-593M8.1
24202,RPE
24203,RP11-91I11.1
24204,DGAT2L7P
24205,MIR8052
24206,RP1
24207,HOTTIP_1
24208,RP2
24209,WNT9A
24210,RP9
24211,AP000944.1
24212,RP11-1277H1.5
24213,MIR8055
24214,DUTP2
24215,DUTP3
24216,DUTP1
24217,DUTP6
24218,RP11-343J18.2
24219,RP11-343J18.1
24220,DUTP5
24221,RP11-32B5.1
24222,DUTP8
24223,MIR8057
24224,CALD1
24225,RP11-32B5.5
24226,RP11-32B5.7
24227,AC078881.1
24228,OR1F2P
24229,NUP62CL
24230,CSTF1
24231,RP1-102E24.6
24232,CSTF3
24233,CSTF2
24234,RP11-521B24.3
24235,AC012360.6
24236,RP11-521B24.5
24237,AC012360.4
24238,RP11-554D13.1
24239,RP11-6J21.2
24240,BPTF
24241,AC116311.1
24242,UPK1A-AS1
24243,HM13-IT1
24244,SYMPK
24245,SSX4
24246,TNMD
24247,CTA-796E4.3
24248,CTA-796E4.4
24249,CTC-756D1.1
24250,ADGRV1
24251,CTC-756D1.3
24252,CTC-756D1.2
24253,AC004875.1
24254,RNU6-694P
24255,SOX30
24256,RN7SL804P
24257,RNU6-892P
24258,RP11-759A24.3
24259,SERPINC1
24260,AC020915.1
24261,AC020915.2
24262,RP11-17P16.1
24263,RP11-17P16.2
24264,CLN6
24265,IGKJ2
24266,IGKJ3
24267,CLN3
24268,IGKJ5
24269,MIR519A1
24270,CLN8
24271,AC116609.3
24272,RP5-1056H1.2
24273,SNORA19
24274,SNORA18
24275,AC116609.2
24276,SNORA15
24277,GS1-541M1.2
24278,SNORA17
24279,SNORA16
24280,CLNK
24281,ACSM2A
24282,ACSM2B
24283,SNORA12
24284,RP5-1182A14.5
24285,RP5-1182A14.7
24286,RNU6-264P
24287,OR7E104P
24288,GCSAML
24289,LINC01111
24290,RP11-484L8.1
24291,OR51I1
24292,OR51I2
24293,FLJ20019
24294,ANKRD34A
24295,AC112497.1
24296,MFI2-AS1
24297,AP001043.1
24298,AC097108.1
24299,RBX1
24300,VN1R67P
24301,CTD-2501E16.2
24302,CTD-2325P2.3
24303,AC142472.6
24304,HRAS
24305,AC004899.3
24306,RN7SL559P
24307,RP11-10J21.2
24308,RP11-282C5.1
24309,CDYL2
24310,AL158147.1
24311,RP11-255A11.4
24312,RP11-255A11.2
24313,KRTAP9-8
24314,KRTAP9-9
